"pokemonId","hp","attack","defense","spAttack","spDefense","speed"
"2-n110","65","90","120","85","70","60"
"2-n111","80","85","95","30","30","25"
"2-n112","105","130","120","45","45","40"
"2-n113","250","5","5","35","105","50"
"2-n114","65","55","115","100","40","60"
"2-n115","105","95","80","40","80","90"
"2-n115m","105","125","100","60","100","100"
"2-n116","30","40","70","70","25","60"
"2-n117","55","65","95","95","45","85"
"2-n118","45","67","60","35","50","63"
"2-n119","80","92","65","65","80","68"
"2-n120","30","45","55","70","55","85"
"2-n121","60","75","85","100","85","115"
"2-n122","40","45","65","100","120","90"
"2-n123","70","110","80","55","80","105"
"2-n124","65","50","35","115","95","95"
"2-n125","65","83","57","95","85","105"
"2-n126","65","95","57","100","85","93"
"2-n127","65","125","100","55","70","85"
"2-n127m","65","155","120","65","90","105"
"2-n128","75","100","95","40","70","110"
"2-n129","20","10","55","15","20","80"
"2-n130","95","125","79","60","100","81"
"2-n130m","95","155","109","70","130","81"
"2-n131","130","85","80","85","95","60"
"2-n132","48","48","48","48","48","48"
"2-n133","55","55","50","45","65","55"
"2-n133b","65","75","70","65","85","75"
"2-n134","130","65","60","110","95","65"
"2-n135","65","65","60","110","95","130"
"2-n136","65","130","60","95","110","65"
"2-n137","65","60","70","85","75","40"
"2-n138","35","40","100","90","55","35"
"2-n139","70","60","125","115","70","55"
"2-n140","30","80","90","55","45","55"
"2-n141","60","115","105","65","70","80"
"2-n142","80","105","65","60","75","130"
"2-n142m","80","135","85","70","95","150"
"2-n143","160","110","65","65","110","30"
"2-n144","90","85","100","95","125","85"
"2-n145","90","90","85","125","90","100"
"2-n146","90","100","90","125","85","90"
"2-n147","41","64","45","50","50","50"
"2-n148","61","84","65","70","70","70"
"2-n149","91","134","95","100","100","80"
"2-n150","106","110","90","154","90","130"
"2-n150x","106","190","100","154","100","130"
"2-n150y","106","150","70","194","120","140"
"2-n151","100","100","100","100","100","100"
